"fysiekePlaatUri","fysiekePlaatNameNL","fysiekePlaatNameEN","fysiekePlaatDefinition","svg","parentFysiekePlaatUri","parentFysiekePlaatNaam"
"https://data.crow.nl/imv-standaard-platen/def/9500b411-c5a9-46e1-a60f-e485b937b09c","A01-080-S","A01-080-S","Een vierkant verkeersbord met een zwart achtergrondschild met daarop een A1 snelheidsbord voor 80 km/h","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_A01_080_S-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/d93f1c35-c49e-4fd2-8cdd-db5ec6f4cce8","D06-R","D06-R","Een rond verkeersbord met een blauw achtergrondschild met daarop een D6 bord verplicht rechtsaf slaan of rechtdoorgaan.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_D06_R-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/fa2892b6-ad92-4e28-a6b8-0c208b2c64ec","A02-080","A02-080","Een rond verkeersbord met een wit achtergrondschild met daarop een A2 einde snelheidsbord voor 80 km/h","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_A02_080-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/f55339ea-d217-48fc-8139-897118b958ae","C06-ZH","C06-ZH","Een vierkant verkeersbord met een wit achtergrondschild met daarop de tekst zone en een C6 verkeersbord verboden voor auto's en daaronder de tekst herhaling.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C06_ZH-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/0a8ed785-aadb-4f54-b24a-89394f415150","E08k","E08k","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor treintaxi.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08K-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/e11ecb7e-200a-4b24-9e6e-cedb64c1d073","C12-ZE","C12-ZE","Een vierkant verkeersbord met een wit achtergrondschild met daarop een grijskleurig C12 bord Gesloten voor alle motorvoertuigen, en de aanduiding einde zone.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C12_ZE-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/1f920a40-860f-4d90-9d58-b8d4aca75342","C09","C09","Een rond verkeersbord met een rood achtergrondschild met daarop een C9 bord Gesloten voor vrachtverkeer.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C09-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/195946b1-9f73-4ede-a6e3-63a9d98def88","F18","F18","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F18, einde bus- en trambaan of -strook.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F18-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/dd329b80-c33e-40c5-bb1e-0d6bbe35792a","F20","F20","Een rond verkeersbord met een blauw achtergrondschild en daarop bord F20, einde rijbaan of -strook voor vrachtauto’s en lijnbussen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F20-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
"https://data.crow.nl/imv-standaard-platen/def/4b9c69c3-526a-4d25-a078-b6a9f8f0d369","E01-ZH","E01-ZH","Een vierkant verkeersbord met een wit achtergrondschild met daarop de tekst Zone, een E1 bord Parkeerverbod en de tekst Herhaling.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E01_ZH-SO.svg","https://data.crow.nl/imv-standaard-platen/def/534a5ba5-6882-40db-8ac2-325d4465667d","FysiekePlaat"
