"iconURI","iconName","iconDefinition","svg"
"https://data.crow.nl/imv/def/G12a-fiets-bromfietspad","G12a-fiets-bromfietspad","Verkeersbord dat aanduidt dat het een fiets/bromfietspad betreft","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/G12a.svg"
"https://data.crow.nl/imv/def/G12a-fiets-bromfietspad","G12a-fiets-bromfietspad","Verkeersbord dat aanduidt dat het een fiets/bromfietspad betreft","https://data.crow.nl/imv/term/G12a-fiets-bromfietspad"
"https://data.crow.nl/imv/def/B7-stop","B7-stop","Een verkeersbord dat aangeeft dat je moet stoppen en voorrang verlenen aan bestuurders op de kruisende weg","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/B7.svg"
"https://data.crow.nl/imv/def/B7-stop","B7-stop","Een verkeersbord dat aangeeft dat je moet stoppen en voorrang verlenen aan bestuurders op de kruisende weg","https://data.crow.nl/imv/term/B7-stop"
"https://data.crow.nl/imv/def/C8-trekker","C8-trekker","Een verkeersbord dat aangeeft dat de weg gesloten is voor","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C8.svg"
"https://data.crow.nl/imv/def/C8-trekker","C8-trekker","Een verkeersbord dat aangeeft dat de weg gesloten is voor","https://data.crow.nl/imv/term/C8-trekker"
"https://data.crow.nl/imv/def/G9-ruiterpad","G9-ruiterpad","Verkeersbord dat aanduidt dat het een ruiterpad betreft","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/G9.svg"
"https://data.crow.nl/imv/def/G9-ruiterpad","G9-ruiterpad","Verkeersbord dat aanduidt dat het een ruiterpad betreft","https://data.crow.nl/imv/term/G9-ruiterpad"
"https://data.crow.nl/imv/def/F13-busstrook","F13-busstrook","Een verkeersbord dat aangeeft dat een rijbaan uitsluitend bedoeld is voor lijnbussen.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/F13.svg"
"https://data.crow.nl/imv/def/F13-busstrook","F13-busstrook","Een verkeersbord dat aangeeft dat een rijbaan uitsluitend bedoeld is voor lijnbussen.","https://data.crow.nl/imv/term/F13-busstrook"
"https://data.crow.nl/imv/def/J9-rotonde","J9-rotonde","Verkeersbord dat een waarschuwing aanduidt voor rotonde","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J9.svg"
"https://data.crow.nl/imv/def/J9-rotonde","J9-rotonde","Verkeersbord dat een waarschuwing aanduidt voor rotonde","https://data.crow.nl/imv/term/J9-rotonde"
"https://data.crow.nl/imv/def/J28-vee","J28-vee","Verkeersbord dat een waarschuwing aanduidt voor vee","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J28.svg"
"https://data.crow.nl/imv/def/J28-vee","J28-vee","Verkeersbord dat een waarschuwing aanduidt voor vee","https://data.crow.nl/imv/term/J28-vee"
"https://data.crow.nl/imv/def/F6-voorrang-op-tegenligger","F6-voorrang-op-tegenligger","Een verkeersbord dat aangeeft dat bestuurders uit tegengestelde richting voorrang moeten verlenen.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/F6.svg"
"https://data.crow.nl/imv/def/F6-voorrang-op-tegenligger","F6-voorrang-op-tegenligger","Een verkeersbord dat aangeeft dat bestuurders uit tegengestelde richting voorrang moeten verlenen.","https://data.crow.nl/imv/term/F6-voorrang-op-tegenligger"
"https://data.crow.nl/imv/def/H1-bebouwde-kom","H1-bebouwde-kom","Verkeersbord dat aanduidt dat het een weg binnen de bebouwde kom betreft","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/H1.svg"
"https://data.crow.nl/imv/def/H1-bebouwde-kom","H1-bebouwde-kom","Verkeersbord dat aanduidt dat het een weg binnen de bebouwde kom betreft","https://data.crow.nl/imv/term/H1-bebouwde-kom"
"https://data.crow.nl/imv/def/Sleepregeling","Sleepregeling","Tekst of afbeelding die een sleepregeling aangeeft","https://data.crow.nl/imv/term/Sleepregeling"
"https://data.crow.nl/imv/def/E4-parkeergelegenheid","E4-parkeergelegenheid","Een verkeersbord dat aangeeft dat er parkeergelegenheid is.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/E4.svg"
"https://data.crow.nl/imv/def/E4-parkeergelegenheid","E4-parkeergelegenheid","Een verkeersbord dat aangeeft dat er parkeergelegenheid is.","https://data.crow.nl/imv/term/E4-parkeergelegenheid"
"https://data.crow.nl/imv/def/J27-wild","J27-wild","Verkeersbord dat een waarschuwing aanduidt voor groot wild","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J27.svg"
"https://data.crow.nl/imv/def/J27-wild","J27-wild","Verkeersbord dat een waarschuwing aanduidt voor groot wild","https://data.crow.nl/imv/term/J27-wild"
"https://data.crow.nl/imv/def/C22a3-milieuzone-5-6","C22a3-milieuzone-5-6","Een onderbord dat aangeeft dat de milieuzone toegankelijk is voor personen- en bedrijfsautoâ€™s van emissieklasse 5 en 6.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C22a3.svg"
"https://data.crow.nl/imv/def/C22a3-milieuzone-5-6","C22a3-milieuzone-5-6","Een onderbord dat aangeeft dat de milieuzone toegankelijk is voor personen- en bedrijfsautoâ€™s van emissieklasse 5 en 6.","https://data.crow.nl/imv/term/C22a3-milieuzone-5-6"
"https://data.crow.nl/imv/def/J39-poller","J39-poller","Verkeersbord dat een waarschuwing aanduidt voor elektrische in- en uitschuifbare paal in de rijbaan (poller)","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J39.svg"
"https://data.crow.nl/imv/def/J39-poller","J39-poller","Verkeersbord dat een waarschuwing aanduidt voor elektrische in- en uitschuifbare paal in de rijbaan (poller)","https://data.crow.nl/imv/term/J39-poller"
"https://data.crow.nl/imv/def/D8-verplicht-keren","D8-verplicht-keren","Een verkeersbord dat een gebod aangeeft om te keren.","https://data.crow.nl/imv/term/D8-verplicht-keren"
"https://data.crow.nl/imv/def/G3-autoweg","G3-autoweg","Verkeersbord dat aanduidt dat het een autoweg betreft","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/G3.svg"
"https://data.crow.nl/imv/def/G3-autoweg","G3-autoweg","Verkeersbord dat aanduidt dat het een autoweg betreft","https://data.crow.nl/imv/term/G3-autoweg"
"https://data.crow.nl/imv/def/GeslotenVoorSnorfietsen","GeslotenVoorSnorfietsen","Icoon Gesloten voor snorfietsen.","https://data.crow.nl/imv/term/GeslotenVoorSnorfietsen"
"https://data.crow.nl/imv/def/D1-rotonde-verplichte-richting","D1-rotonde-verplichte-richting","Een verkeersbord dat aangeeft dat de rotonde verplicht in de aangegeven richting moet worden gevolgd.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/D1.svg"
"https://data.crow.nl/imv/def/D1-rotonde-verplichte-richting","D1-rotonde-verplichte-richting","Een verkeersbord dat aangeeft dat de rotonde verplicht in de aangegeven richting moet worden gevolgd.","https://data.crow.nl/imv/term/D1-rotonde-verplichte-richting"
"https://data.crow.nl/imv/def/J1-slecht-wegdek","J1-slecht-wegdek","Verkeersbord dat een waarschuwing aanduidt voor slecht wegdek","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J1.svg"
"https://data.crow.nl/imv/def/J1-slecht-wegdek","J1-slecht-wegdek","Verkeersbord dat een waarschuwing aanduidt voor slecht wegdek","https://data.crow.nl/imv/term/J1-slecht-wegdek"
"https://data.crow.nl/imv/def/C7-gesloten-vrachtauto","C7-gesloten-vrachtauto","Een verkeersbord dat aangeeft dat de weg gesloten is voor vrachtauto's","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C7.svg"
"https://data.crow.nl/imv/def/C7-gesloten-vrachtauto","C7-gesloten-vrachtauto","Een verkeersbord dat aangeeft dat de weg gesloten is voor vrachtauto's","https://data.crow.nl/imv/term/C7-gesloten-vrachtauto"
"https://data.crow.nl/imv/def/B3-voorrangskruispunt","B3-voorrangskruispunt","Een verkeersboord dat aangeeft dat je voorrang hebt op het volgende kruispunt","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/B3.svg"
"https://data.crow.nl/imv/def/B3-voorrangskruispunt","B3-voorrangskruispunt","Een verkeersboord dat aangeeft dat je voorrang hebt op het volgende kruispunt","https://data.crow.nl/imv/term/B3-voorrangskruispunt"
"https://data.crow.nl/imv/def/Flashlight","Flashlight","Licht op een fysieke plaat waarmee extra aandacht op de plaat wordt gevestigd.","https://data.crow.nl/imv/term/Flashlight"
"https://data.crow.nl/imv/def/G14-einde-onverplicht-fietspad","G14-einde-onverplicht-fietspad","Verkeersbord dat aanduidt dat het onverplichte fietspad eindigt","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/G14.svg"
"https://data.crow.nl/imv/def/G14-einde-onverplicht-fietspad","G14-einde-onverplicht-fietspad","Verkeersbord dat aanduidt dat het onverplichte fietspad eindigt","https://data.crow.nl/imv/term/G14-einde-onverplicht-fietspad"
"https://data.crow.nl/imv/def/B2-einde-voorrangsweg","B2-einde-voorrangsweg","Een verkeersbord dat aangeeft dat de weg waarop men rijdt niet langer een voorrangsweg is","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/B2.svg"
"https://data.crow.nl/imv/def/B2-einde-voorrangsweg","B2-einde-voorrangsweg","Een verkeersbord dat aangeeft dat de weg waarop men rijdt niet langer een voorrangsweg is","https://data.crow.nl/imv/term/B2-einde-voorrangsweg"
"https://data.crow.nl/imv/def/G8-einde-voetpad","G8-einde-voetpad","Verkeersbord dat aanduidt dat het voetpad eindigt","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/G8.svg"
"https://data.crow.nl/imv/def/G8-einde-voetpad","G8-einde-voetpad","Verkeersbord dat aanduidt dat het voetpad eindigt","https://data.crow.nl/imv/term/G8-einde-voetpad"
"https://data.crow.nl/imv/def/C9-trekker-fiets","C9-trekker-fiets","Verkeersbord dat aangeeft dat een weg gesloten is voor voor ruiters, vee, wagens, landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid, mobiele machines, brommobielen, fietsen, snorfietsen, bromfietsen en gehandicaptenvoertuigen","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C9.svg"
"https://data.crow.nl/imv/def/C9-trekker-fiets","C9-trekker-fiets","Verkeersbord dat aangeeft dat een weg gesloten is voor voor ruiters, vee, wagens, landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid, mobiele machines, brommobielen, fietsen, snorfietsen, bromfietsen en gehandicaptenvoertuigen","https://data.crow.nl/imv/term/C9-trekker-fiets"
"https://data.crow.nl/imv/def/C15-brom-fiets","C15-brom-fiets","Een verkeersbord dat aangeeft dat de weg gesloten is voor fietsen, bromfietsen en gehandicaptenvoertuigen.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C15.svg"
"https://data.crow.nl/imv/def/C15-brom-fiets","C15-brom-fiets","Een verkeersbord dat aangeeft dat de weg gesloten is voor fietsen, bromfietsen en gehandicaptenvoertuigen.","https://data.crow.nl/imv/term/C15-brom-fiets"
"https://data.crow.nl/imv/def/Oversteekpijlen","Oversteekpijlen","In onderborden gebruikt symbool van twee naar elkaar toewijzende pijlen, bedoeld als weergave van een tweezijdige kruising.","https://data.crow.nl/imv/term/Oversteekpijlen"
"https://data.crow.nl/imv/def/G2-einde-autosnelweg","G2-einde-autosnelweg","Verkeersbord dat aanduidt dat de autosnelweg eindigt","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/G2.svg"
"https://data.crow.nl/imv/def/G2-einde-autosnelweg","G2-einde-autosnelweg","Verkeersbord dat aanduidt dat de autosnelweg eindigt","https://data.crow.nl/imv/term/G2-einde-autosnelweg"
"https://data.crow.nl/imv/def/F14-einde-busstrook","F14-einde-busstrook","Een verkeersbord dat het einde van de busstrook aangeeft.","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/F14.svg"
"https://data.crow.nl/imv/def/F14-einde-busstrook","F14-einde-busstrook","Een verkeersbord dat het einde van de busstrook aangeeft.","https://data.crow.nl/imv/term/F14-einde-busstrook"
"https://data.crow.nl/imv/def/C12-motorvoertuig","C12-motorvoertuig","Een verkeersbord dat aangeeft dat de weg gesloten is voor alle motorvoertuigen","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/C12.svg"
"https://data.crow.nl/imv/def/C12-motorvoertuig","C12-motorvoertuig","Een verkeersbord dat aangeeft dat de weg gesloten is voor alle motorvoertuigen","https://data.crow.nl/imv/term/C12-motorvoertuig"
"https://data.crow.nl/imv/def/J32-verkeerslichten","J32-verkeerslichten","Verkeersbord dat een waarschuwing aanduidt voor verkeerslichten","https://raw.githubusercontent.com/ndwnu/qgis-verkeersborden-style/24d3c1aa0e3dc14ff50cb58916efd82db4cbbd31/svg_verkeersborden/J32.svg"
"https://data.crow.nl/imv/def/J32-verkeerslichten","J32-verkeerslichten","Verkeersbord dat een waarschuwing aanduidt voor verkeerslichten","https://data.crow.nl/imv/term/J32-verkeerslichten"
