"URI","name","definition","svgImage"
"https://data.crow.nl/imv-standaard-platen/def/B02","B02","Een vierkant verkeersbord met een zwart achtergrondschild met daarop een B2 einde voorrangsbord.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_B02-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E06","E06","Een vierkant verkeersbord met een blauw achtergrondschild met daarop bord E6 Gehandicaptenparkeerplaats.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E06-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J14","J14","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J14, tram(kruising).","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J14-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/G12b","G12b","Een rond verkeersbord met een blauw achtergrondschild en daarop bord G12b, einde fiets/bromfietspad.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_G12_B-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J18","J18","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J18, rijbaanversmalling rechts.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J18-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/J19","J19","Een driehoekig verkeersbord met een rood achtergrondschild en daarop bord J19, rijbaanversmalling links.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_J19-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F10-Brigadier","F10-Brigadier","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop een afbeelding van een hand die een F10-stop bord laat zien, een verkeersbrigadier.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F10_BRIGADIER-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C14","C14","Een rond verkeersbord met een rood achtergrondschild met daarop een C14 bord Gesloten voor alle motorvoertuigen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C14-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E04","E04","Een vierkant verkeersbord met een blauw achtergrondschild met daarop bord E4 Parkeergelegenheid.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E04-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/C19","C19","Een rond verkeersbord met een rood achtergrondschild met daarop een C19 bord gesloten voor voertuigen die, met inbegrip van de lading, hoger zijn dan op het bord is aangegeven.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_C19-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E09","E09","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord parkeren voor vergunninghouders.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E09-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F01","F01","Een rond verkeersbord met een rood achtergrondschild en daarop bord F1, verbod voor motorvoertuigen om elkaar onderling in te halen.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F01-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/E08l","E08l","Een vierkant verkeersbord met een blauw achtergrondschild met daarop een bord Parkeren voor politie.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_E08L-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/F06","F06","Een rechthoekig verkeersbord met een blauw achtergrondschild en daarop bord F6, bestuurders uit tegengestelde richting moeten verkeer dat van deze richting nadert voor laten gaan.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_F06-SO.svg"
"https://data.crow.nl/imv-standaard-platen/def/B01","B01","Een vierkant verkeersbord met een zwart achtergrondschild met daarop een B1 voorrangsbord.","https://raw.githubusercontent.com/nl-digigo/NLCS/1b85445d40c86ab5eea2aaeffc71694da8e5fbe9/symbolen/concept/5.1/svg/SVW-VERKEERSTEKEN_BORD_B01-SO.svg"
