textSigns	count	percent	histogram
	1654936	86.01	**************************************************
uitgezonderd	73794	3.84	**
100 m	6504	0.34	
150 m	6133	0.32	
uitgezonderd bestemmingsverkeer	6090	0.32	
onleesbaar	4494	0.23	
wegsleepregeling van kracht	3862	0.20	
;Opladen elektrische voertuigen	3321	0.17	
;opladen elektrische voertuigen	3221	0.17	
;alleen voor opladen elektrische voertuigen	2783	0.14	
200 m	2239	0.12	
;	1888	0.10	
300 m	1812	0.09	
uitgezonderd lijnbussen	1477	0.08	
snorfietsen niet toegestaan	1470	0.08	
;;alleen voor opladen elektrische voertuigen	1458	0.08	
drempels	1381	0.07	
alleen in de vakken	1360	0.07	
verhoogde rijbaanscheiding	1217	0.06	
inhalen toegestaan	1072	0.06	
opladen elektrische voertuigen	1033	0.05	
herhaling	977	0.05	
50 m	936	0.05	
6-19 h	902	0.05	
alleen voor opladen elektrische voertuigen	854	0.04	
busbaan	826	0.04	
(None)	818	0.04	
Opladen elektrische voertuigen;	799	0.04	
;snorfietsen niet toegestaan	761	0.04	
opladen elektrische voertuigen;	719	0.04	
;Alleen voor opladen elektrische voertuigen	708	0.04	
;onleesbaar	657	0.03	
alleen voor opladen elektrische voertuigen;	596	0.03	
school	584	0.03	
100m	572	0.03	
150m	533	0.03	
drempel	516	0.03	
2 x	506	0.03	
Opladen elektrische voertuigen	503	0.03	
;uitsluitend opladen elektrische voertuigen	498	0.03	
dus niet brommen	483	0.03	
19-6 h	476	0.02	
2x	472	0.02	
uitrit	463	0.02	
Alleen voor opladen elektrische voertuigen	458	0.02	
;;Opladen elektrische voertuigen	452	0.02	
schoolzone	439	0.02	
wegsleepregeling van kracht;onleesbaar	412	0.02	
slecht wegdek	408	0.02	
Bezoekers	371	0.02	
uitsluitend opladen elektrische voertuigen	363	0.02	
ma t/m vr 06-19 h	352	0.02	
250 m	342	0.02	
autodate	339	0.02	
wildrooster	319	0.02	
6-19h	310	0.02	
veerooster	300	0.02	
UITRIT VRIJLATEN	298	0.02	
75 m	290	0.02	
500 m	275	0.01	
1	271	0.01	
SCHOOLZONE	271	0.01	
1 km	269	0.01	
uitgezonderd;uitgezonderd	268	0.01	
na 100 m	263	0.01	
6 - 19 h	258	0.01	
BEZOEKERS	253	0.01	
na 50 m	252	0.01	
uitgezonderd bestemmingsverkeer;uitgezonderd	250	0.01	
Alleen voor opladen elektrische voertuigen;	239	0.01	
;opladen elektrische auto's	228	0.01	
200m	220	0.01	
600 m	212	0.01	
300m	212	0.01	
Herhaling	205	0.01	
UITRIT	201	0.01	
na 150 m	198	0.01	
fietsers toegestaan	196	0.01	
;alleen opladen elektrische voertuigen	195	0.01	
ga terug	191	0.01	
uitgezonderd hulpdiensten	189	0.01	
Speed-pedelecs toegestaan	184	0.01	
Autodate	183	0.01	
uitrit brandweer	182	0.01	
uitgezonderd lijnbussen;uitgezonderd	181	0.01	
fietsen toegestaan	178	0.01	
19-6h	177	0.01	
;;opladen elektrische voertuigen	176	0.01	
fietsstraat toegestaan	176	0.01	
gevaarlijke berm	173	0.01	
2X	170	0.01	
SCHOOL	167	0.01	
max 3h	164	0.01	
obstakels	160	0.01	
uitgezonderd aanwonenden	159	0.01	
Alleen in de vakken	158	0.01	
overstekende kinderen	155	0.01	
onleesbaar;onleesbaar	154	0.01	
Cameratoezicht	153	0.01	
400 m	153	0.01	
uitgezonderd in de vakken	151	0.01	
3x	149	0.01	
LET OP!	148	0.01	
wegsleepregeling van kracht;autodate	148	0.01	
Greenwheels	143	0.01	
;uitgezonderd	139	0.01	
parkeren alleen in de vakken	137	0.01	
2 X	136	0.01	
onleesbaar;	132	0.01	
uitsluitend elektrische auto's	131	0.01	
wegsleepregeling van kracht;	131	0.01	
fietsers op rijbaan	131	0.01	
uitgezonderd aanwonenden en exploitatie aanliggende percelen	130	0.01	
UITRIT VERBODEN TE PARKEREN	130	0.01	
2	130	0.01	
School	129	0.01	
slechte berm	128	0.01	
spelende kinderen	128	0.01	
ritsen vanaf hier	126	0.01	
uitgezonderd laden en lossen	126	0.01	
gratis	124	0.01	
uitgezonderd bestemmingsverkeer;	124	0.01	
50m	121	0.01	
2 km	120	0.01	
uitgezonderd fietsers	120	0.01	
overstekende fietsers	120	0.01	
slagbomen dalen automatisch	119	0.01	
;alleen opladen	118	0.01	
;Speed-pedelecs toegestaan	110	0.01	
;10.00-22.00 h;;Opladen elektrische voertuigen	109	0.01	
na 200 m	108	0.01	
Achteruit inparkeren verplicht	107	0.01	
Uitrit	107	0.01	
bezoekers	106	0.01	
ALLEEN IN DE VAKKEN	105	0.01	
Slecht wegdek	105	0.01	
;Opladen elektrische voertuigen;	104	0.01	
opladen elektrische auto's	104	0.01	
;OPLADEN ELEKTRISCHE VOERTUIGEN	104	0.01	
bij file lijnbus op vluchtstrook	102	0.01	
;uitsluitend voor en gedurende het opladen van elektrische voertuigen	102	0.01	
allen in de vakken	102	0.01	
AUTODATE	101	0.01	
uitsluitend in de vakken	100	0.01	
30 m	100	0.01	
ma t/m vr 06-10 h 15-19 h	100	0.01	
INRIT VRIJLATEN	97	0.01	
gebruik door fietsers toegestaan	97	0.01	
Onleesbaar	96	0.00	
geef ritser ruimte	96	0.00	
paal in wegdek	95	0.00	
opladen elektrische auto's;	93	0.00	
bij groen een voertuig	91	0.00	
Scanauto's controleren betaald parkeren	91	0.00	
ma t/m vr 8-16 h	91	0.00	
70 m	90	0.00	
wegsleepregeling van kracht;uitrit vrijlaten	90	0.00	
50 m;uitgezonderd	90	0.00	
fietsers	89	0.00	
Slagbomen worden op afstand bestuurd	89	0.00	
uitsluitend opladen elektrische voertuigen;	88	0.00	
bij nat wegdek	88	0.00	
3 x	87	0.00	
alleen voor Autodate	87	0.00	
verkeerssituatie gewijzigd	87	0.00	
opladen elektrische auto	86	0.00	
Let op ! School	85	0.00	
parkeren in de vakken	84	0.00	
camerabewaking	84	0.00	
;uitsluitend opladen elektrische auto's	84	0.00	
80 m	84	0.00	
uitgezonderd landbouwverkeer	83	0.00	
;2x;Opladen elektrische voertuigen	83	0.00	
;Opladen elektrische voertuigen;2x	82	0.00	
ma t/m za 9-18 h	82	0.00	
uitgezonderd;	82	0.00	
overweg	80	0.00	
UITGEZONDERD (BROM)FIETSERS	80	0.00	
ma t/m za 9-19 h	79	0.00	
900 m	79	0.00	
uitrit werkverkeer	79	0.00	
;gebruik door fietsers toegestaan	78	0.00	
uitgezonderd bewoners	78	0.00	
ALGEMEEN	77	0.00	
ritsen na 300 m	77	0.00	
