rvvCode; blackCode; zoneCode; textSigns;;;;;;Naam; Snelheid;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde onderbord 1;atrtribuutnaam 2;Waarde onderbord 2
A1;50;;1;;;;;;A1;50;;Vrije tekst;Omschrijving;1;;
A1(Zone);60;;2;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;2;;
A1;15;;3;;;;;;A1;15;;Vrije tekst;Omschrijving;3;;
A3;;;14;;;;;;A3;;;Vrije tekst;Omschrijving;14;;
A1;15;;560;;;;;;A1;15;;Vrije tekst;Omschrijving;560;;
A1;15;;2699;;;;;;A1;15;;Vrije tekst;Omschrijving;2699;;
A1(Zone);30;;5176;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;5176;;
A1;15;;16837;;;;;;A1;15;;Vrije tekst;Omschrijving;16837;;
A1;30;;21054;;;;;;A1;30;;Vrije tekst;Omschrijving;21054;;
A1(Zone);30;;28001;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;28001;;
A1;50;;29511;;;;;;A1;50;;Vrije tekst;Omschrijving;29511;;
A1(Zone);30;;32200;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;32200;;
A2(Zone);30;;32205;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;32205;;
A1;100;;jun-19;;;;;;A1;100;;Vrije tekst;Omschrijving;jun-19;;
A1;120;;19-jun;;;;;;A1;120;;Vrije tekst;Omschrijving;19-jun;;
A1;15;;!LET OP! Voetgangers;;;;;;A1;15;;Waarschuwing;Omschrijving;!LET OP! Voetgangers;;
A1(Zone);30;;(Brom) fietsers Bolnes Rotterdam;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;(Brom) fietsers Bolnes Rotterdam;;
A1(Zone);30;;(brom-) fietsers en bestemmingverkeer uitgezonderd;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;(brom-) fietsers en bestemmingverkeer uitgezonderd;;
A1;30;;(BROM) FIETSERS OP RIJBAAN;;;;;;A1;30;;Waarschuwing;Omschrijving;(BROM) FIETSERS OP RIJBAAN;;
A1(Zone);30;;(brom) fietsers op rijbaan;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;(brom) fietsers op rijbaan;;
A2(Zone);30;;(Brom-) fietsers oversteken;;;;;;A2;30;Zone;Waarschuwing;Omschrijving;(Brom-) fietsers oversteken;;
A1;60;;(brom)fietsers geef ze de ruimte;;;;;;A1;60;;Waarschuwing;Omschrijving;(brom)fietsers geef ze de ruimte;;
A1(Zone);30;;(brom-)fietsers toegestaan;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;(brom-)fietsers toegestaan;;
A1;100;;06 - 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
