rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde 1;atrtribuutnaam 2;Waarde 2;atrtribuutnaam 3;Waarde 3;atrtribuutnaam 4;Waarde 4;atrtribuutnaam 5;Waarde 5;atrtribuutnaam 6;Waarde 6;atrtribuutnaam 7;Waarde 7
B1;;;3;8 km;;B1;;;vrije tekst;omschrijving;3;;;;;;;;;;;;
B5;;;9;;;B5;;;vrije tekst;omschrijving;9;;;;;;;;;;;;
B6;;;100;;;B6;;;vrije tekst;omschrijving;100;;;;;;;;;;;;
B6;;;150;;;B6;;;vrije tekst;omschrijving;150;;;;;;;;;;;;
B6;;;5190;;;B6;;;vrije tekst;omschrijving;5190;;;;;;;;;;;;
B6;;;32240;;;B6;;;vrije tekst;omschrijving;32240;;;;;;;;;;;;
B5;;;236105;;;B5;;;vrije tekst;omschrijving;236105;;;;;;;;;;;;
B4;;;'' Nylicht '';;;B4;;;vrije tekst;omschrijving;'' Nylicht '';;;;;;;;;;;;
B7;;;!LET OP!FIETSERS;;;B7;;;waarschuwing;omschrijving;!LET OP!FIETSERS;;;;;;;;;;;;
B5;;;(brom) fietsers bovenkerkerweg middenhoven;;;B5;;;vrije tekst;omschrijving;(brom) fietsers bovenkerkerweg middenhoven;;;;;;;;;;;;
B1;;;(BROM-) FIETSERS OP DE RIJBAAN;;;B1;;;vrije tekst;omschrijving;(BROM-) FIETSERS OP DE RIJBAAN;;;;;;;;;;;;
B6;;;(brom) fietsers oversteken;;;B6;;;vrije tekst;omschrijving;(brom) fietsers oversteken;;;;;;;;;;;;
B6;;;(brom) fietsers voorrang;;;B6;;;vrije tekst;omschrijving;(brom) fietsers voorrang;;;;;;;;;;;;
B6;;;(brom) fietsverkeer richting Biervliet;;;B6;;;vrije tekst;omschrijving;(brom) fietsverkeer richting Biervliet;;;;;;;;;;;;
B3;;;(brom) fletsters centrum;;;B3;;;vrije tekst;omschrijving;(brom) fletsters centrum;;;;;;;;;;;;
B5;;;(brom)fietsers;;;B5;;;vrije tekst;omschrijving;(brom)fietsers;;;;;;;;;;;;
B6;;;(brom)fietsers;;;B6;;;vrije tekst;omschrijving;(brom)fietsers;;;;;;;;;;;;
B6;;;(brom)fietsers Kwintsheul;;;B6;;;vrije tekst;omschrijving;(brom)fietsers Kwintsheul;;;;;;;;;;;;
B6;;;(Brom)fietsers LET OP;;;B6;;;vrije tekst;omschrijving;(Brom)fietsers LET OP;;;;;;;;;;;;
B4;;;(brom)fietsers op rijbaan;;;B4;;;vrije tekst;omschrijving;(brom)fietsers op rijbaan;;;;;;;;;;;;
B5;;;(brom)fietsers op rijbaan;;;B5;;;vrije tekst;omschrijving;(brom)fietsers op rijbaan;;;;;;;;;;;;
B6;;;(brom)fietsers oversteken;;;B6;;;vrije tekst;omschrijving;(brom)fietsers oversteken;;;;;;;;;;;;
B1;;;(brom)fietsers toegestaan;;;B1;;;vrije tekst;omschrijving;(brom)fietsers toegestaan;;;;;;;;;;;;
B1;;;(vracht)verkeer Santhorst;;;B1;;;vrije tekst;omschrijving;(vracht)verkeer Santhorst;;;;;;;;;;;;
B1;;;";";;;B1;;;vrije tekst;omschrijving;";";;;;;;;;;;;;
B3;;;";";;;B3;;;vrije tekst;omschrijving;";";;;;;;;;;;;;
B5;;;";";;;B5;;;vrije tekst;omschrijving;";";;;;;;;;;;;;
B6;;;";";;;B6;;;vrije tekst;omschrijving;";";;;;;;;;;;;;
B7;;;";";;;B7;;;vrije tekst;omschrijving;";";;;;;;;;;;;;
