rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;
C12;;;"uitgezonderd;taxi 18-11h";;;C12;;;"uitgezonderd;tijdstipaanduiding, specifiek voertuigtype";
C2;;;uitgezonderd fietsen en bromfietsen;;;C2;;;uitgezonderd;
C21;7;;"onleesbaar;";;;C21;;;onleesbaar;
C1;;;m.Ã¼.v. aanwonenden;;;C1;;;uitgezonderd;
C1;;;uitgezonderd lijnbussen expeditie verkeer Beursgebouw;;;C1;;;uitgezonderd;
C1;;;m.u.v. bevoorradingsverkeer campinggasten en invalidenvoertuigen;;;C1;;;uitgezonderd;
C12;;;GEEN DOORGAANDE VERHARDING;;;C12;;;vrije tekst;
C12;;;"uitgezonderd;uitgezonderd bestemmingsverkeer Waardijk 14/16/18";;;C12;;;uitgezonderd;
C21;4;;uitgezonderd;;;C21;;;uitgezonderd;
C7;;;Vrachtverkeer Buko via inrit Gamersedijk;;;C7;;;vrije tekst;
C20;2.7;;na 2100 m;;;C20;;;Lengte na;
C3;;;Uitgezonderd fietsen;;;C3;;;Uitgezonderd;
C2;;;"uitgezonderd;Na 15 m";;;C2;;;"Uitgezonderd; lengte na; ";
C3;;;tevens toegang voor laden en lossen max 1 uur;;;C3;;;vrije tekst;
C3;;;PARKEREN UITSLUITEND VOOR BEZOEKERS EN PERSONEEL;;;C3;;;vrije tekst;
C2;;;uitgezonderd bestemmingsverkeer;;;C2;;;uitgezonderd;
C19;3.6;;550 m;;;C19;;;Werkingslengte;
C2;;;"30  m;uitgezonderd";;;C2;;;Werkingslengte;
C20;2.4;;na 25 km;;;C20;;;Lengte na;
C3;;;"ma t/m vr 8 - 17 h;uitgezonderd";;;C3;;;"Tijdstipaanduiding; uitgezonderd";
C3;;;"ma t/m vr 8 - 17 h;uitgezonderd";;;C3;;;Dagaanduiding;
C17;12;;toegang parkeerdak max. last 3 ton;;;C17;;;Aslast;
C3;;;"uitgezonderd;wo 6.00 h tot wo 14.00 h";;;C3;;;"Uitgezonderd;dagaanduiding;tijdstipaanduiding";
C1;;;uitgezonderd dienstvoertuigen;;;C1;;;Uitgezonderd;
C12;;;"uitgezonderd werkverkeer;onleesbaar";;;C12;;;Uitgezonderd;
C2;;;FIETSERS UITGEZONDERD;;;C2;;;Uitgezonderd;
C1;;;Uitsluitend toegang voor leden en bezoekers Noordwijkse Golfclub;;;C1;;;uitsluitend;
C21;3.5;;200 m;;;C21;;;;
C12;;;"uitgezonderd bestemmingsverkeer;alleen op za. en zo";;;C12;;;"Uitgezonderd; dagaanduiding";
C7;;;Verboden voor onbevoegden tussen zonsondergang en zonsopgang;;;C7;;;Verboden voor onbevoegden;Zonsopkomst tot zonsondergang
C2;;;uitgezonderd dienstverkeer;;;C2;;;Uitgezonderd;
C2;;;inrit vrijhouden op last van de brandweer;;;C2;;;inrit;
C19;4.3;;Beperkte doorrijhoogte;;;C19;;;;
C12;;;"uitgezonderd;let op obstakel op rijbaan";;;C12;;;"Uitgezonderd; Waarschuwing";
C1;;;m.u.v. schoolbus;;;C1;;;Uitgezonderd;
C20;12;;CAMERATOEZÃ„Â°CHT;;;C20;;;;
C2;;;"Taxiontheffing niet van toepassing;Taxi ontheffing niet van toepassing";;;C2;;;vrije tekst;
C6;;;5-9 h;;;C6;;;;
C1;;;UITGEZONDERD BEVOORRADING;;;C1;;;Uitgezonderd;
C2;;;cameratoezicht;;;C2;;;vrije tekst;
C12;;;Uitgezonderd taxi's gehandicapten- voertuigen expeditie winkels;;;C12;;;Uitgezonderd;
