naam,bovenliggend,Omschrijving,attribuut,eenheid,datatype,waarde
Onderbord,,Onderbord,Omschrijving,,xsd:string,
BordwaardenOnderbord,Onderbord,Onderbord met de waarde van het hoofdbord,,,,
Aslast,BordwaardenOnderbord,Onderbord met de maximale aslast van voertuigen,Aslast,ton,xsd:decimal,
Totaalmassa,BordwaardenOnderbord,Onderbord met de maximale totaalmassa van voertuigen of de som van aslasten van samenstellen van voertuigenton,Totaalmassa,ton,xsd:decimal,
Voertuigbreedte,BordwaardenOnderbord,Onderbord met de maximale breedte van voertuigen met inbegrip van de lading,Voertuigbreedte,m,xsd:decimal,
Voertuighoogte,BordwaardenOnderbord,Onderbord met de maximale hoogte van voertuigen met inbegrip van de lading,Voertuighoogte,m,xsd:decimal
Voertuiglengte,BordwaardenOnderbord,Onderbord met de maximale lengte van voertuigen en samenstellen van voertuigen, met inbegrip van de lading,Voertuiglengte,m,xsd:decimal
OBVoertuigType,Onderbord,Onderbord met tekstuele of visuele aanduiding dat het bord alleen geldt voor specifieke voertype,,,,
OB01,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor ruiters te paard,Omschrijving,,,Geldt alleen voor {ruiter te paard}
OB02,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor fietsers,Omschrijving,,,Geldt alleen voor {fietser}
OB03,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor bromfietsers,Omschrijving,,,Geldt alleen voor {bromfietser}
OB04,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor fietsers en bromfietsers,Omschrijving,,,Geldt alleen voor {(brom)fietser}
OB05,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor tractoren,Omschrijving,,,Geldt alleen voor {tractor}
OB06,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor motoren,Omschrijving,,,Geldt alleen voor {motor}
OB07,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor auto's en motoren,Omschrijving,,,Geldt alleen voor {motor en auto}
OB08,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor auto's,Omschrijving,,,Geldt alleen voor {auto-voorkant}C22c
OB09,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor auto's,Omschrijving,,,Geldt alleen voor {auto-zijkant}
OB10,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor voertuigen met aanhanger,Omschrijving,,,Geldt alleen voor {voertuigen met aanhanger}
OB11,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor vrachtauto's,Omschrijving,,,Geldt alleen voor {vrachtauto's}
OB12,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor bussen,Omschrijving,,,Geldt alleen voor {bussen}
OB13,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor vrachtauto's en bussen,Omschrijving,,,Geldt alleen voor {vrachtauto en bus}
OB14,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor trams,Omschrijving,,,Geldt alleen voor {tram}
OB15,OBVoertuigType,Onderbord met tekstuele aanduiding dat het bord alleen geldt voor brommobielen,Omschrijving,,,Geldt alleen voor brommobielen
OB16,OBVoertuigType,Onderbord met tekstuele aanduiding dat het bord alleen geldt voor gehandicaptenvoertuigen,Omschrijving,,,Geldt alleen voor gehandicaptenvoertuigen
OB19,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor electrische voertuigen,Omschrijving,,,{alleen voor elektrische voertuigen}
OB20-A,OBVoertuigType,Onderbord met tekstuele aanduiding dat het bord alleen geldt voor electrische voertuigen,Omschrijving,,,elektrische-voertuigen
OB20-B,OBVoertuigType,Onderbord met tekstuele aanduiding dat het bord alleen geldt voor opladen electrische voertuigen,Omschrijving,,,alleen voor opladen elektrische voertuigen
OB21,OBVoertuigType,Onderbord met visuele aanduiding dat het bord alleen geldt voor bestelbus en bedrijfsauto,Omschrijving,,,{bestelbus}
InstructiefOnderbord,Onderbord,Onderbord dat een instructie geeft aan het verkeer,,,,
(brom)fietsers oversteken,InstructiefOnderbord,Onderbord met aanduiding (brom)fietsers oversteken,Omschrijving,,,(brom)fietsers oversteken
OB401-na,Onderbord,Onderbord met vooraankondiging van de geldigheid na x meter vanaf het verkeersbord,Lengte vooraankondiging,,xsd:string,
OB402-Sp11-20km,OB401-na,Onderbord met vooraankondiging van een benzinestation na 20 km,Omschrijving,,,{benzinepomp} na 20 km
C22a1,OBMilieuzone,milieuzone toegankelijk voor personen- en bedrijfsauto's emissieklasse 3 tot en met 6,Omschrijving,,,milieuzone toegankelijk voor personen- en bedrijfsauto's emissieklasse 3 tot en met 6
C22a2,OBMilieuzone,milieuzone toegankelijk voor personen- en bedrijfsauto's emissieklasse 4 tot en met 6,Omschrijving,,,milieuzone toegankelijk voor personen- en bedrijfsauto's emissieklasse 4 tot en met 6
C22a3,OBMilieuzone,milieuzone toegankelijk voor personen- en bedrijfsauto's emissieklasse 5 en 6,Omschrijving,,,milieuzone toegankelijk voor personen- en bedrijfsauto's emissieklasse 5 en 6
C22a4,OBMilieuzone,milieuzone toegankelijk voor vrachtauto's emissieklasse 4 tot en met 6,Omschrijving,,,milieuzone toegankelijk voor vrachtauto's emissieklasse 4 tot en met 6
C22a5,OBMilieuzone,milieuzone toegankelijk voor vrachtauto's emissieklasse 6,Omschrijving,,,milieuzone toegankelijk voor vrachtauto's emissieklasse 6
C22a6,OBMilieuzone,milieuzone toegankelijk voor bussen emissieklasse 4 tot en met 6,Omschrijving,,,milieuzone toegankelijk voor bussen emissieklasse 4 tot en met 6
C22a7,OBMilieuzone,milieuzone toegankelijk voor bussen emissieklasse 6,Omschrijving,,,milieuzone toegankelijk voor bussen emissieklasse 6
C22a8,OBMilieuzone,milieuzone toegankelijk voor vrachtauto's en bussen emissieklasse 4 tot en met 6,Omschrijving,,,milieuzone toegankelijk voor vrachtauto's en bussen emissieklasse 4 tot en met 6
C22a9,OBMilieuzone,milieuzone toegankelijk voor vrachtauto's en bussen emissieklasse 6,Omschrijving,,,milieuzone toegankelijk voor vrachtauto's en bussen emissieklasse 6
C22c1,OBMilieuzone,nul-emissiezone toegankelijk voor emissieloze bedrijfs- en vrachtauto's,Omschrijving,,,nul-emissiezone toegankelijk voor emissieloze bedrijfs- en vrachtauto's
ntb,OBParkeren,Onderbord met waarschuwing over wegsleepregeling,Omschrijving,,,Wegsleepregeling van kracht
ntb,OBParkeren,Onderbord met aanduiding dat parkeren in de vakken wel is toegestaan,Omschrijving,,,Parkeren alleen in de vakken
Parkeren verboden voor onbevoegden,OBParkeren,Parkeren verboden voor onbevoegden,Omschrijving,,,parkeren verboden voor onbevoegden
OB401-100,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 100 meter vanaf het verkeersbord,Werkingslengte,,xsd:string,100 m
OB401-150,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 150 meter vanaf het verkeersbord,Werkingslengte,,xsd:string,150 m
OB401-1km,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 150 meter vanaf het verkeersbord,Werkingslengte,,xsd:decimal,1 km
OB401-200,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 150 meter vanaf het verkeersbord,Werkingslengte,,xsd:string,200 m
OB401-250,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 150 meter vanaf het verkeersbord,Werkingslengte,,xsd:string,250 m
OB401-300,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 150 meter vanaf het verkeersbord,Werkingslengte,,xsd:string,300 m
OB401-500,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 150 meter vanaf het verkeersbord,Werkingslengte,,xsd:decimal,500 m
OB411-100m,OBWerkingslengte,Onderbord met aanduiding van de werkingslengte van 100 meter vanaf het verkeersbord met pijlen,Omschrijving,,,{pijl} 100 m {pijl}


OB101,Onderbord,Onderbord met visuele en tekstuele aanduiding dat inhalen tractoren is toegestaan,Omschrijving,,,inhalen {tractoren} toegestaan
OB102,Onderbord,Onderbord met tekstuele aanduiding uitgezonderd berm,Omschrijving,,,uitgezonderd berm
OB201,Onderbord,Onderbord met tekstuele aanduiding geldigheid op datum, ---- afleiden uit verkeersregel?,,,
