naam,omschrijving,attribuut,eenheid,datatype
A1,Maximumsnelheid,snelheid,km/h,xsd:int
A2,Einde maximumsnelheid,snelheid,km/h,xsd:int
A4,Adviessnelheid,snelheidkm/h,xsd:int
A5,Einde adviessnelheid,snelheid,km/h,xsd:int
B1,Voorrangsweg,
B2,Einde voorrangsweg
B3,Voorrangskruispunt
B4,Voorrangskruispunt Zijweg links
B5,Voorrangskruispunt Zijweg rechts
B6,Verleen voorrang aan bestuurders op de kruisende weg
B7,Stop
C1,"Gesloten in beide richtingen voor voertuigen, ruiters en geleiders van rij- of trekdieren of vee"
C2,"Eenrichtingsweg, in deze richting gesloten voor voertuigen, ruiters en geleiders van rij- of trekdieren of vee"
C3,Eenrichtingsweg
C4,Eenrichtingsweg
C5,Inrijden toegestaan
C6,Gesloten voor motorvoertuigen op meer dan twee wielen
C7,Gesloten voor vrachtauto's
C7a,Gesloten voor autobussen
C7b,Gesloten voor autobussen en vrachtauto's
C8,"Gesloten voor landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid en mobiele machines"
C9,"Gesloten voor ruiters, vee, wagens, landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid, mobiele machines, brommobielen, fietsen, snorfietsen, bromfietsen en gehandicaptenvoertuigen"
C10,Gesloten voor motorvoertuigen met aanhangwagen
C11,Gesloten voor motorfietsen
C12,Gesloten voor alle motorvoertuigen
C13,"Gesloten voor bromfietsen, snorfietsen en gehandicaptenvoertuigen, met in werking zijnde motor"
C14,Gesloten voor fietsen en voor gehandicaptenvoertuigen zonder motor
C15,"Gesloten voor fietsen, bromfietsen en gehandicaptenvoertuigen"
C16,Gesloten voor voetgangers
C17,"Gesloten voor voertuigen en samenstellen van voertuigen die, met inbegrip van de lading, langer zijn dan op het bord is aangegeven",voertuiglengte,m,xsd:decimal
C18,"Gesloten voor voertuigen die, met inbegrip van de lading, breder zijn dan op het bord is aangegeven",voertuigbreedte,m,xsd:decimal
C19,"Gesloten voor voertuigen die, met inbegrip van de lading, hoger zijn dan op het bord is aangegeven",voertuighoogte,m,xsd:decimal
C20,Gesloten voor voertuigen waarvan de aslast hoger is dan op het bord is aangegeven,aslast voertuig,t,xsd:decimal
C21,"Gesloten voor voertuigen en samenstellen van voertuigen, waarvan de totaalmassa of de som van de aslasten hoger is dan op het bord is aangegeven",massa voertuigsamenstelling,t,xsd:decimal
C22,Gesloten voor voertuigen met bepaalde gevaarlijke stoffen
C22a,"Gesloten voor personen- en bedrijfsauto's, vrachtauto's of bussen met een dieselmotor vanwege milieuzone"
C22b,Einde geslotenverklaring milieuzone
C22c,Gesloten voor bedrijfs- en vrachtauto's vanwege nul-emissiezone
C22d,Einde geslotenverklaring nul-emissiezone
C23-01,Spitsstrook open
C23-02,Spitsstrook vrijmaken
C23-03,Einde spitsstrook
D1,Rotonde
D2,Gebod voor alle bestuurders het bord voorbij te gaan aan de zijde die de pijl aangeeft
D3,Bord mag aan beide zijden worden voorbijgegaan
D4,Gebod tot het volgen van de rijrichting die op het bord is aangegeven
D5,Gebod tot het volgen van de rijrichting die op het bord is aangegeven
D6,Gebod tot het volgen van één van de rijrichtingen die op het bord zijn aangegeven
D7,Gebod tot het volgen van één van de rijrichtingen die op het bord zijn aangegeven
E1,Parkeerverbod
E2,Verbod stil te staan
E3,Verbod fietsen en bromfietsen te plaatsen
E4,Parkeergelegenheid
E5,Taxistandplaats
E6,Gehandicaptenparkeerplaats
E7,Gelegenheid bestemd voor het onmiddellijk laden en lossen van goederen
E8,Parkeergelegenheid alleen bestemd voor de voertuigcategorie of groep voertuigen die op het bord is aangegeven
E8a,Parkeergelegenheid alleen bestemd voor kampeerwagens
E8b,Parkeergelegenheid voor het parkeren met twee wielen op het trottoir
E8c,Parkeergelegenheid alleen bestemd voor het opladen van elektrische voertuigen
E9,Parkeergelegenheid alleen bestemd voor vergunninghouders
E10,"Parkeerschijf-zone met verplicht gebruik van parkeerschijf, tevens parkeerverbod indien er langer wordt geparkeerd dan de parkeerduur die op het bord is aangegeven"
E11,Einde parkeerschijf-zone met verplicht gebruik van parkeerschijf
E12,Parkeergelegenheid ten behoeve van overstappers op het openbaar vervoer
E13,Parkeergelegenheid ten behoeve van carpoolers
F1,Verbod voor motorvoertuigen om elkaar onderling in te halen
F2,Einde verbod voor motorvoertuigen om elkaar onderling in te halen
F3,Verbod voor vrachtauto's om motorvoertuigen in te halen
F4,Einde verbod voor vrachtauto's om motorvoertuigen in te halen
F5,Verbod voor bestuurders door te gaan bij nadering van verkeer uit tegengestelde richting
F6,Bestuurders uit tegengestelde richting moeten verkeer dat van deze richting nadert voor laten gaan
F7,Keerverbod
F8,Einde van alle door verkeersborden aangegeven verboden
F9,Einde van alle op een elektronisch signaleringsbord aangegeven verboden
F10,Stop. In het bord kan worden aangegeven door wie of waarom het bord wordt toegepast
F11,"Verplicht gebruik passeerbaan of passeerstrook (rijbaan of -strook om ingehaald te kunnen worden), uitsluitend bestemd voor landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid en mobiele machines"
F12,"Einde verplicht gebruik passeerbaan of passeerstrook (rijbaan of -strook om ingehaald te kunnen worden), uitsluitend bestemd voor landbouw- en bosbouwtrekkers, motorrijtuigen met beperkte snelheid en mobiele machines"
F13,Rijbaan of -strook uitsluitend ten behoeve van lijnbussen
F14,Einde busbaan of -strook
F15,Rijbaan of -strook uitsluitend ten behoeve van trams
F16,Einde trambaan of -strook
F17,Rijbaan of -strook uitsluitend ten behoeve van lijnbussen en trams
F18,Einde bus- en trambaan of -strook
F19,Rijbaan of -strook uitsluitend ten behoeve van vrachtauto's en lijnbussen
F20,Einde rijbaan of -strook voor vrachtauto's en lijnbussen
F21,Rijbaan of -strook uitsluitend ten behoeve van vrachtauto's
F22,Einde rijbaan of -strook voor vrachtauto's
H1,Bebouwde kom
H2,Einde bebouwde kom
J1,Slecht wegdek
J2,Bocht naar rechts
J3,Bocht naar links
J4,"S-bocht(en), eerst naar rechts"
J5,"S-bocht(en), eerst naar links"
J6,Steile helling
J7,Gevaarlijke daling
J8,Gevaarlijk kruispunt
J9,Rotonde
J10,Overweg met slagbomen
J11,Overweg zonder slagbomen
J12,Overweg met enkel spoor
J13,Overweg met twee of meer sporen
J14,Tram(kruising)
J15,Beweegbare brug
J16,Werk in uitvoering
J17,Rijbaanversmalling
J18,Rijbaanversmalling rechts
J19,Rijbaanversmalling links
J20,Slipgevaar
J21,Kinderen
J22,Voetgangersoversteekplaats
J23,Voetgangers
J24,Fietsers en bromfietsers
J25,Losliggende stenen
J26,Kade of rivieroever
J27,Groot wild
J28,Vee
J29,Tegenliggers
J30,Laagvliegende vliegtuigen
J31,Zijwind
J32,Verkeerslichten
J33,File
J34,Ongeval
J35,"Slecht zicht door sneeuw, regen of mist"
J36,IJzel of sneeuw
J37,Gevaar (de aard van het gevaar is aangegeven op het onderbord)
J38,Verkeersdrempel
J39,Waarschuwing voor elektrische in- en uitschuifbare paal in de rijbaan (poller) waarmee toegankelijkheid van straten en gebieden kan worden geregeld.



Geparkeerd:
A3,Maximumsnelheid op een electronisch signaleringsbord,waardelijst snelheden,xsd:int
