waarschuwing,omschrijving,relatie met bord
waarschuwing,"Waarschuwingen aan het verkeer op een locatie volgens het Reglement verkeersregels en verkeerstekens 1990 (RVV 1990), Bijlage 1 Verkeersborden, Hoofdstuk J. Waarschuwing."
voorrangskruispunt,"Waarschuwing voor een naderend kruispunt waarbij de bestuurder voorrang heeft",B3
voorrangskruispunt,,B4
voorrangskruispunt,,B5
Slecht wegdek,"Waarschuwing voor slecht wegdek","J1"
Bocht naar rechts,"Waarschuwing voor bocht naar rechts","J2"
Bocht naar links,"Waarschuwing voor bocht naar links","J3"
S-bocht(en), eerst naar rechts,"Waarschuwing voor S-bocht(en), eerst naar rechts","J4"
S-bocht(en), eerst naar links,"Waarschuwing voor S-bocht(en), eerst naar links","J5"
Steile helling,"Waarschuwing voor steile helling","J6"
Gevaarlijke daling,"Waarschuwing voor gevaarlijke daling","J7"
Gevaarlijk kruispunt,"Waarschuwing voor gevaarlijk kruispunt","J8"
Rotonde,"Waarschuwing voor rotonde","J9"
Overweg met slagbomen,"Waarschuwing voor overweg met slagbomen","J10"
Overweg zonder slagbomen,"Waarschuwing voor overweg zonder slagbomen","J11"
Overweg met enkel spoor,"Waarschuwing voor overweg met enkel spoor","J12"
Overweg met twee of meer sporen,"Waarschuwing voor overweg met twee of meer sporen","J13"
Tram(kruising),"Waarschuwing voor tram(kruising)","J14"
Beweegbare brug,"Waarschuwing voor beweegbare brug","J15"
Werk in uitvoering,"Waarschuwing voor werk in uitvoering","J16"
Rijbaanversmalling,"Waarschuwing voor rijbaanversmalling","J17"
Rijbaanversmalling rechts,"Waarschuwing voor rijbaanversmalling rechts","J18"
Rijbaanversmalling links,"Waarschuwing voor rijbaanversmalling links","J19"
Slipgevaar,"Waarschuwing voor slipgevaar","J20"
Kinderen,"Waarschuwing voor kinderen","J21"
Voetgangersoversteekplaats,"Waarschuwing voor voetgangersoversteekplaats","J22"
Voetgangers,"Waarschuwing voor voetgangers","J23"
Fietsers en bromfietsers,"Waarschuwing voor fietsers en bromfietsers","J24"
Losliggende stenen,"Waarschuwing voor losliggende stenen","J25"
Kade of rivieroever,"Waarschuwing voor kade of rivieroever","J26"
Groot wild,"Waarschuwing voor groot wild","J27"
Vee,"Waarschuwing voor vee","J28"
Tegenliggers,"Waarschuwing voor tegenliggers","J29"
Laagvliegende vliegtuigen,"Waarschuwing voor laagvliegende vliegtuigen","J30"
Zijwind,"Waarschuwing voor zijwind","J31"
Verkeerslichten,"Waarschuwing voor verkeerslichten","J32"
File,"Waarschuwing voor file","J33"
Ongeval,"Waarschuwing voor ongeval","J34"
Slecht zicht door sneeuw, regen of mist,"Waarschuwing voor slecht zicht door sneeuw, regen of mist","J35"
IJzel of sneeuw,"Waarschuwing voor ijzel of sneeuw","J36"
Gevaar,"Waarschuwing voor gevaar (de aard van het gevaar is aangegeven op het onderbord)","J37"
Verkeersdrempel,"Waarschuwing voor verkeersdrempel","J38"
Waarschuwing voor elektrische in- en uitschuifbare paal in de rijbaan (poller),"Waarschuwing voor elektrische in- en uitschuifbare paal in de rijbaan (poller) waarmee toegankelijkheid van straten en gebieden kan worden geregeld","J39"


