zone,omschrijving,bovenliggend,relatie met bord
zone,zone waarbinnen specifieke verkeersregels gelden
parkeerzone,zone waarbinnen onder voorwaarden geparkeerd mag worden,,E10
parkeerzone,zone waarbinnen onder voorwaarden geparkeerd mag worden,,E11
milieuzone,zone met voorwaarden aan de uitstoot van voertuigen
bibekozone,zone binnen de bebouwde kom,,H1
bibekozone,,,H2
bubekozone,zone buiten de bebouwde kom,,
erfzone,zone erf,,
snelheidszone,snelheidszone,,A1
snelheidszone,,,A2
30-zone,zone waarbinnen het verkeer maximaal 30 km/h mag rijden,snelheidszone,A1
60-zone,zone waarbinnen het verkeer maximaal 60 km/h mag rijden,snelheidszone,A1
schoolzone

